question,reponse,source,date_heure_parution,url,date_heure_scraping
"Franchisé en base, micro-entrepreneur ou auto-entrepreneur, suis-je concerné par la réforme de la facturation électronique ?","Oui, vous êtes concerné.
Dès lors que vous, personne physique ou personne morale, réalisez une activité économique indépendante à titre habituel, vous êtes vous êtes assujetti et dans le champ de la réforme, au moins en réception.
La réforme s’applique à tous les assujettis à la TVA, qu’ils soient redevables ou non de la TVA (par exemple le franchisé en base). Les opérateurs qui bénéficient de la franchise en base de TVA sont des assujettis à la TVA non redevables, car ne mentionnant pas la TVA sur les facturent qu’ils délivrent à leurs clients, ils ne paient pas de TVA.
Vous êtes donc soumis en votre qualité d’assujetti, même non redevable, aux obligations d’émission et de réception de factures électroniques et à la transmission à l’administration de données (données de factures, données d’autres opérations soumises à TVA et aussi éventuellement données de paiement).
Pour savoir à quelle obligation vous êtes soumis, faites le test : https://www.impots.gouv.fr/professionnel/la-facturation-electronique-quest-ce-que-ca-change-pour-moi",DGFiP,2024-11-15T00:00:00,https://www.impots.gouv.fr/professionnel/questions/franchise-en-base-micro-entrepreneur-ou-auto-entrepreneur-suis-je-concerne,2026-08-06T22:40:31.203545+02:00
Est-ce qu’une facture envoyée par mail est une facture électronique ?,"Non, l’article 289 bis du CGI définit la facture électronique comme :
- une facture émise, transmise et reçue sous une forme dématérialisée ;
- qui comporte nécessairement un socle minimum de données sous forme structurée, ce qui la différencie des factures « papier » ou du PDF ordinaire ;
- adressée au client par l’intermédiaire d’une plateforme agréée.
La facture de type image PDF (facture numérisée ou PDF générée à partir d’un outil bureautique) envoyée par mail n'est pas une facture électronique.
Les factures adressées à vos clients professionnels (transactions « business to business » ou B2B) seront obligatoirement transmises par l’intermédiaire d’une plateforme agréée. Elle se chargera de l’envoi effectif des factures électroniques à la plateforme de votre client professionnel. Vous n’adresserez donc plus directement les factures à vos clients professionnels.
Les factures de vos fournisseurs vous parviendront elles aussi sous forme électronique par le biais de la (ou les) plateforme(s) que vous aurez choisie(s). Cette plateforme peut être la même que celle de votre fournisseur, ou distincte. Toute entreprise est libre de choisir la ou les plateforme(s) agréée(s) de son choix.",DGFiP,2024-11-15T00:00:00,https://www.impots.gouv.fr/professionnel/questions/est-ce-quune-facture-envoyee-par-mail-est-une-facture-electronique,2026-08-06T22:40:31.203545+02:00
"Mes clients sont à la fois des entreprises et des particuliers. Par quel dispositif suis-je concerné, et quelles sont mes nouvelles obligations dans le cadre de la réforme facturation électronique ?","Vous êtes concerné par les deux dispositifs : facturation électronique et transmission électronique à l’administration des données de transactions (e-reporting).
Pour vos opérations avec des particuliers, qu’ils soient en France ou à l’étranger, vous devez transmettre à l’administration des données concernant ces opérations. Vous réaliserez un e-reporting.
Pour vos opérations avec des professionnels, il convient d’abord de déterminer le lieu d’établissement de votre client :
- pour les opérations avec des clients établis sur le territoire français, vous émettrez une facture électronique par l’intermédiaire de la plateforme agréée de votre choix,
- pour les opérations avec des clients établis hors du territoire français, il n’y a pas d’obligation d’émettre une facture électronique. En revanche, des données relatives à ces opérations doivent être transmises électroniquement à l’administration dans le cadre du e-reporting.
Précisément, la facturation électronique s’applique aux opérations :
- réalisées entre assujettis à la TVA établis en France,
- qui entrent dans le champ de la TVA en France,
- et pour lesquelles les règles de facturation françaises sont applicables.
La transmission électronique à l’administration des données de transactions (ou e-reporting) s’applique aux opérations listées à l’article 290 du Code général des impôts (CGI).
Pour savoir à quelle obligation vous êtes soumis, faites le test : https://www.impots.gouv.fr/professionnel/la-facturation-electronique-quest-ce-que-ca-change-pour-moi",DGFiP,2024-11-15T00:00:00,https://www.impots.gouv.fr/professionnel/questions/mes-clients-sont-la-fois-des-entreprises-et-des-particuliers-par-quel,2026-08-06T22:40:31.203545+02:00
"Je n'émets pas de facture, ou je facture sans TVA. Suis-je concerné par la réforme de la facturation électronique ?","Oui, dès lors que vous réalisez une activité économique indépendante à titre habituel, vous êtes concerné par le dispositif de facturation électronique ou de transmission électronique d’informations à l’administration, soit en tant que fournisseur, soit en tant qu’acheteur.
Si vous n’émettez pas de factures car vos clients sont des particuliers, vous êtes alors a minima concerné par le e-reporting (transmission de données de ces opérations et éventuellement des données de paiement relatives à ces opérations).
Si vous délivrez des factures sans TVA (vous êtes franchisé en base ou micro-entrepreneur), vous êtes aussi concerné.
Si vous ne facturez pas de TVA du fait de l’application du régime de la marge, l’opération entre, selon la nature du client, dans le champ de la facturation électronique ou de la transmission de données (e-reporting).
Si vous réalisez des opérations exonérées de TVA au sens des articles 261 à 261 E du Code général des Impôts (CGI), alors par contre, vous n’êtes pas concernés en émission par la facturation électronique ou la transmission électronique d’informations à l’administration.
En revanche, en tant qu’acheteur professionnel, vous êtes concerné par la facturation électronique, dès lors qu’elle est obligatoire entre deux entités établies en France pour les opérations entrant dans le champ de la TVA. À ce titre, vous aurez l’obligation de recevoir les factures de vos fournisseurs au format électronique par l’intermédiaire d’une plateforme agréée.
Pour savoir à quelle obligation vous êtes soumis, faites le test : https://www.impots.gouv.fr/professionnel/la-facturation-electronique-quest-ce-que-ca-change-pour-moi",DGFiP,2024-11-15T00:00:00,https://www.impots.gouv.fr/professionnel/questions/je-nemets-pas-de-facture-ou-je-facture-sans-tva-suis-je-concerne-par-la,2026-08-06T22:40:31.203545+02:00
"Avec la réforme de la facturation électronique, dois-je encore déposer des déclarations de TVA ?","Oui. La facturation électronique n’a pas d’impact sur les obligations déclaratives.
Vous devrez effectivement continuer de déposer vos déclarations de TVA selon la même périodicité qu’aujourd’hui, qui dépend de votre régime d’imposition (tous les mois si vous êtes au régime mensuel, une fois par an si vous êtes au régime simplifié d’imposition…).
Grâce à la réforme, l’administration fiscale collectera électroniquement les informations relatives à vos transactions. Elles permettront à terme de proposer un pré-remplissage des déclarations de TVA.",DGFiP,2024-11-15T00:00:00,https://www.impots.gouv.fr/professionnel/questions/avec-la-reforme-de-la-facturation-electronique-dois-je-encore-deposer-des,2026-08-06T22:40:31.203545+02:00
À partir de quand suis-je concerné par la réforme de la facturation électronique ?,"La mise en œuvre de la facturation électronique et la transmission des données de transaction et de paiement à l’administration (e-reporting) interviendra de manière progressive. Les obligations de facturation électronique et d’e-reporting se déploieront en deux étapes, et selon le critère de la taille des entreprises.
À compter du 1er septembre 2026, toutes les entreprises quelle que soit leur taille (article 51 de la loi du 4 août 2008 de modernisation de l’économie (LME)) devront recevoir leurs factures sous forme électronique, dès lors que leur fournisseur a l’obligation de les émettre sous ce format.
À cette date, les grandes entreprises et les entreprises de taille intermédiaire seront tenues d’émettre leurs factures sous format électronique et de transmettre électroniquement à l’administration leurs informations de transactions et leurs données de paiement.
À compter du 1er septembre 2027, l’obligation d’émission des factures sous format électronique et de transmission électronique à l’administration d’informations de transactions et de données de paiement sera obligatoire pour les petites et moyennes entreprises ainsi que pour les micro-entreprises.",DGFiP,2024-11-15T00:00:00,https://www.impots.gouv.fr/professionnel/questions/partir-de-quand-suis-je-concerne-par-la-reforme-de-la-facturation,2026-08-06T22:40:31.203545+02:00
"Dans le cadre de la réforme de la facturation électronique, comment devrais-je émettre et recevoir mes factures, et comment transmettre mes données sous format électronique ?","Dès le démarrage de la réforme, pour l’émission et la réception des factures électroniques, ainsi que la transmission électronique des données de transactions et de paiement, les entreprises devront recourir à une plateforme agréée immatriculée par l’administration fiscale.
C’est la plateforme agréée qui assurera la réception et la transmission des factures électroniques pour ses clients.
Concernant les factures électroniques émises, la plateforme agréée se chargera d’en extraire les données réglementaires pour les transmettre à l’administration. Elle assurera également la transmission des données de transaction et de paiement (e-reporting) pour ses clients sur la base des éléments et informations que ces derniers lui auront transmis.
Les entreprises sont libres de choisir leur(s) plateforme(s) parmi celles immatriculées. Les informations relatives à l’identité des plateformes et le statut de leur immatriculation sont disponibles sur impots.gouv.fr.
À compter du 1er septembre 2026, toutes les entreprises assujetties à la TVA (qu’elles en soient redevables ou non), quelle que soit leur taille, devront être en capacité de recevoir des factures électroniques, dans la mesure où, à cette même date les grandes entreprises et les entreprises de taille intermédiaire devront émettre leurs factures au format électronique.",DGFiP,2024-11-15T00:00:00,https://www.impots.gouv.fr/professionnel/questions/dans-le-cadre-de-la-reforme-de-la-facturation-electronique-comment-devrais,2026-08-06T22:40:31.203545+02:00
Quelles sont les entreprises concernées par la facturation électronique ?,"La facturation électronique concerne toutes les opérations d’achats et de ventes de biens et/ou de prestations de services réalisées entre les entreprises établies en France et assujetties à la TVA française, y compris les entreprises qui relèvent du régime de la franchise en base de TVA. À partir de cette facture électronique, des données seront transmises à l’administration par le biais de la plateforme qui gère la transmission électronique de la facture.
Également, comme nous le verrons plus loin, la réforme de la facturation électronique englobe également d’autres opérations, notamment celles réalisées avec des personnes ou des entreprises non assujetties à la TVA (e-reporting).",LeCoinDesEntrepreneurs,2026-03-26T05:55:15+00:00,https://www.lecoindesentrepreneurs.fr/questions-reponses-facturation-electronique/#question-1,2026-08-06T22:40:31.203545+02:00
Quelles sont les obligations liées à la facturation électronique ?,"Les entreprises concernées par la facturation électronique auront l’obligation :
- d’émettre et de recevoir des factures au format électronique (e-invoicing),
- de transmettre les données de transaction et de paiement à l’administration (e-reporting).",LeCoinDesEntrepreneurs,2026-03-26T05:55:15+00:00,https://www.lecoindesentrepreneurs.fr/questions-reponses-facturation-electronique/#question-2,2026-08-06T22:40:31.203545+02:00
Qu’est-ce que le e-reporting ?,"Le e-reporting couvre les échanges non traités par la facturation électronique. Il s’agit notamment de toutes les transactions avec une personne non assujettie à la TVA, comme les transactions entre un professionnel et un particulier, ou avec les entreprises non assujetties à la TVA (comme de nombreuses micro-entreprises ou les entreprises étrangères par exemple), ainsi que les opérations dont la TVA est exigible à l’encaissement.
Ainsi, le e-reporting consistera à transmettre électroniquement des données de transactions à l’administration. Il conviendra de distinguer deux volets :
- Le e-reporting de transaction, qui concerne les opérations avec des personnes non assujetties à la TVA.
- Le e-reporting de paiement, qui concerne les opérations dont la TVA est exigible à l’encaissement, comme les prestations de services par exemple, et lorsque l’entreprise n’a pas opté pour le paiement de la TVA sur les débits.",LeCoinDesEntrepreneurs,2026-03-26T05:55:15+00:00,https://www.lecoindesentrepreneurs.fr/questions-reponses-facturation-electronique/#question-3,2026-08-06T22:40:31.203545+02:00
